BTC,Bitcoin
ETH,Ethereum
XRP,XRP
USDT,Tether
BCH,Bitcoin Cash
BSV,Bitcoin SV
LTC,Litecoin
EOS,EOS
BNB,Binance Coin
XTZ,Tezos
LEO,UNUS SED LEO
XMR,Monero
XLM,Stellar
ADA,Cardano
LINK,Chainlink
TRX,TRON
HT,Huobi Token
CRO,Crypto.com Coin
USDC,USD Coin
DASH,Dash
ETC,Ethereum Classic
HEDG,HedgeTrade
NEO,Neo
MIOTA,IOTA
ATOM,Cosmos
XEM,NEM
ZEC,Zcash
MKR,Maker
OKB,OKB
PAX,Paxos Standard
ONT,Ontology
FTT,FTX Token
DOGE,Dogecoin
BAT,Basic Attention Token
BUSD,Binance USD
VET,VeChain
TUSD,TrueUSD
ICX,ICON
BTG,Bitcoin Gold
HBAR,Hedera Hashgraph
DCR,Decred
QTUM,Qtum
LSK,Lisk
REP,Augur
SNX,Synthetix Network Token
ZB,ZB Token
ALGO,Algorand
ZRX,0x
WAVES,Waves
RVN,Ravencoin
BCD,Bitcoin Diamond
DAI,Multi-collateral DAI
MONA,MonaCoin
KNC,Kyber Network
MCO,MCO
KCS,KuCoin Shares
ENJ,Enjin Coin
OMG,OmiseGO
NANO,Nano
DX,DxChain Token
THETA,THETA
NRG,Energi
NEXO,Nexo
DGB,DigiByte
STEEM,Steem
SNT,Status
CKB,Nervos Network
BTM,Bytom
QNT,Quant
HOT,Holo
SC,Siacoin
,DigixDAO DGD
ABBC,ABBC Coin
ZEN,Horizen
,BitTorrent BTT
BTS,BitShares
VSYS,v.systems
HC,HyperCash
KMD,Komodo
XVG,Verge
LUNA,Terra
NMR,Numeraire
REN,Ren
ZIL,Zilliqa
IOST,IOST
SEELE,Seele
BCN,Bytecoin
GNT,Golem
EURS,STASIS EURO
ELF,aelf
STX,Blockstack
ARDR,Ardor
DGTX,Digitex Futures
WAXP,WAX
MATIC,Matic Network
XZC,Zcoin
RIF,RSK Infrastructure Framework
YAP,Yap Stone
CHZ,Chiliz
AE,Aeternity
